Metric,Value
ROC AUC,0.9996164173379364
Precision Recall AUC,0.6378968253968254
Average Precision,0.6805555555555556
Log Loss (Cross Entropy),0.0013998867677171049
Brier Score Loss,0.0003298620770669777
