n_estimators,auc,aucpr,error,logloss
1,0.91159,0.799531,0.000625,0.65153
2,0.914392,0.82196,0.000594,0.613418
3,0.932614,0.856763,0.000552,0.578294
4,0.932613,0.855984,0.00054,0.545685
5,0.934018,0.860086,0.000534,0.515547
6,0.934017,0.859968,0.000576,0.48762
7,0.933968,0.858528,0.000576,0.461467
8,0.933928,0.857439,0.000594,0.437132
9,0.933802,0.858156,0.000588,0.414425
10,0.933747,0.85774,0.000594,0.393137
11,0.933749,0.858526,0.000594,0.373153
12,0.93375,0.858998,0.000588,0.354427
13,0.933749,0.858448,0.000594,0.336793
14,0.933636,0.857436,0.000588,0.320244
15,0.933637,0.857958,0.000601,0.304621
16,0.933637,0.857847,0.000582,0.289826
17,0.933619,0.857789,0.000607,0.275927
18,0.933619,0.857576,0.000594,0.262774
19,0.93362,0.85822,0.000588,0.250344
20,0.933617,0.858613,0.000576,0.238586
21,0.933617,0.858823,0.000576,0.227434
22,0.933618,0.85904,0.000558,0.216892
23,0.933619,0.859674,0.000564,0.206888
24,0.93362,0.859901,0.000552,0.197385
25,0.933621,0.860401,0.00054,0.188375
26,0.933598,0.860564,0.000546,0.179838
27,0.933508,0.860316,0.000552,0.171684
28,0.933494,0.860748,0.000546,0.16399
29,0.933495,0.861203,0.000546,0.156658
30,0.933494,0.86099,0.000552,0.149705
31,0.933267,0.860815,0.000546,0.143047
32,0.934677,0.862432,0.000546,0.136711
33,0.934676,0.862724,0.000546,0.130703
34,0.934677,0.862902,0.00054,0.124935
35,0.934677,0.863014,0.000534,0.119507
36,0.934678,0.863537,0.000528,0.114296
37,0.934678,0.863818,0.000522,0.10931
38,0.934678,0.863819,0.000522,0.104576
39,0.934678,0.863895,0.000522,0.10007
40,0.934664,0.864336,0.000516,0.095792
41,0.934664,0.864227,0.00051,0.091668
42,0.936055,0.865361,0.000516,0.087761
43,0.936055,0.865354,0.00051,0.084015
44,0.938072,0.866035,0.00051,0.080467
45,0.938047,0.86645,0.00051,0.077061
46,0.955906,0.873103,0.00051,0.073797
47,0.955823,0.873185,0.000491,0.070691
48,0.955821,0.872979,0.000485,0.067715
49,0.955792,0.872662,0.00051,0.064908
50,0.95579,0.872468,0.000485,0.06219
51,0.955733,0.872132,0.000516,0.059597
52,0.955733,0.872079,0.000516,0.057133
53,0.955732,0.872111,0.00051,0.054764
54,0.955729,0.872133,0.000473,0.052507
55,0.955728,0.872101,0.000485,0.050344
56,0.955728,0.872209,0.000479,0.048275
57,0.955727,0.872099,0.000479,0.046298
58,0.955528,0.87174,0.000479,0.044414
59,0.955527,0.8719,0.000479,0.042608
60,0.956994,0.873017,0.000473,0.040873
61,0.956994,0.872936,0.000473,0.039235
62,0.956963,0.87297,0.000467,0.037653
63,0.958349,0.873548,0.000461,0.036135
64,0.958348,0.87353,0.000437,0.034682
65,0.958271,0.873412,0.000443,0.0333
