Metric,Value
ROC AUC,0.9999859685997355
Precision Recall AUC,0.9941276603282551
Average Precision,0.9941352466712803
Log Loss (Cross Entropy),0.0007161709341504996
Brier Score Loss,0.00015489920129880183
