,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
V4,0.003567318757192206,0.002759367110469419,0.05433110218652391,0.13394598507467992,0.0005278331385705342,0.0003087080121111251
V14,0.0026083621020330126,0.0009816186021056163,0.11249413288379657,0.11228062292450344,0.000697739964442887,6.332990946338758e-05
V12,0.0009078123002174143,0.0015987213248624301,0.13673881673881677,0.1373807468169409,0.0003992429731571729,0.0002496048514772611
V3,0.0005753739930955737,0.0007061348304044861,0.017948717948717996,0.10132748088570542,0.00014589783855082335,0.00013367848167539895
Amount,0.00023014959723826055,0.00024124743976618954,0.07321428571428575,0.03780477893274464,0.0001701140540716764,0.0001114943374046512
V23,0.00023014959723823835,0.00014352349009487742,-0.047168746286393295,0.037674506062846135,7.722162628009225e-05,3.0315594929214593e-05
V28,0.000179005242296415,0.0001171864389452947,0.029786324786324835,0.015475514937102563,9.950709996301766e-05,3.695017453674419e-05
V6,8.95026211482186e-05,5.11443549418511e-05,-0.0016666666666665497,0.04797118476649534,7.320045872139793e-06,1.611215312154285e-05
V10,3.835826620639527e-05,0.00018791635924691785,-0.10039682539682535,0.033965101470683545,3.617083831968541e-05,5.383235589130309e-05
V27,2.5572177470989387e-05,3.131939320777381e-05,0.00555555555555558,0.006804138174397747,2.120326103940322e-05,8.951423399506042e-06
V19,2.5572177470989387e-05,5.114435494178449e-05,0.004761904761904789,0.01252359828417425,5.6138336857262675e-05,3.062205403237147e-05
V18,2.5572177470967184e-05,0.0001114665373619915,-0.0763492063492063,0.04952380952380953,1.603236605678079e-05,3.804360175729685e-05
V1,1.2786088735516899e-05,0.00012396572963599927,-0.06136363636363631,0.05421123757826758,-1.3867120490694248e-05,6.413799263143549e-05
V22,2.2204460492503132e-17,0.00010697609340672861,-0.04318181818181814,0.05544870348798167,5.697899886997126e-05,6.154223326976066e-05
V17,-1.2786088735428081e-05,0.00010999009419568021,-0.10357142857142851,0.019817446014577418,0.0003606909738066263,5.1377016329978087e-05
V9,-1.2786088735428081e-05,0.00010228870988367445,-0.10429292929292919,0.02547377820791613,-4.525912626150057e-06,4.2345076736261e-05
V5,-2.5572177470811754e-05,7.671653241267581e-05,-0.08468253968253962,0.05114006377048215,4.0783695975754425e-07,2.8239491294124898e-05
V25,-2.5572177470878364e-05,3.131939320781914e-05,-0.025793650793650768,0.04321572504781579,1.4038797237191004e-05,7.444507896426022e-06
V21,-3.8358266206306443e-05,3.131939320781007e-05,-0.10555555555555547,0.0068041381743977475,-8.834579681997467e-06,4.3163275694321376e-05
V24,-5.114435494175673e-05,4.784116336499212e-05,-0.0904761904761904,0.038136551672171316,-1.5434879878844153e-05,2.5278188155871188e-05
V26,-5.114435494175673e-05,0.00010228870988362448,-0.021349206349206295,0.03402013542760335,3.757224706269317e-05,6.46198848315338e-05
V8,-5.114435494180114e-05,7.455506833967206e-05,0.013650793650793691,0.03008302947064206,0.00023563313677629652,7.693467999823741e-05
V16,-6.393044367720701e-05,4.0433162769080106e-05,-0.07380952380952377,0.05367274370178687,-3.172430247203274e-05,1.1629644181414564e-05
V15,-6.393044367720701e-05,5.438959828795975e-17,-0.017857142857142794,0.0,7.964748062665737e-06,9.427963630787022e-06
V13,-6.393044367722923e-05,5.718112715764716e-05,-0.09325396825396821,0.04812888445383365,-1.1480670105655901e-05,2.6842576708371235e-05
V7,-7.67165324126351e-05,4.784116336496245e-05,-0.11547619047619043,0.012127545071377917,-4.9541061505749406e-05,2.8370531473163687e-05
V11,-0.00011507479861911918,7.455506833966446e-05,-0.07611111111111106,0.053072277760302156,-9.33485914617505e-05,6.995055065156454e-05
V20,-0.00014064697608993094,4.784116336498025e-05,-0.11626984126984122,0.05034524294334509,-3.461889849627766e-05,5.060476842007601e-05
V2,-0.00019179133103177647,5.718112715764715e-05,-0.15658730158730155,0.025625950565854698,-0.0001818287302941795,3.0539592271006084e-05
