,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
V14,0.0001519784555341186,1.8330923348942924e-05,0.0325972070229392,0.0014536787014431773,0.0019540319009061337,2.5037203009560606e-05
V4,0.0001444450920912166,3.521829243281252e-05,0.027784190967868373,0.0021206640361974105,0.000964795659401842,5.746571115872071e-05
V8,3.665533035099866e-05,7.1449065513462625e-06,0.011510350045585782,0.0013903917780109397,0.0002651187919563756,2.6101945580469112e-05
V28,2.2811242468745442e-05,8.517331838379346e-07,0.009488755714675579,0.00036415925800568655,0.00018208603666420518,8.243584812247074e-06
V27,1.7852572860754812e-05,1.3683290282071226e-06,0.006324812900143728,0.00021521873916055363,0.00012765386994648692,4.8237397518479596e-06
V26,1.5121217760682982e-05,1.583146599215475e-06,0.006013113970676653,0.0006463083469889865,0.0001409031471866872,1.4209093576766167e-05
V20,1.4838546347606397e-05,1.1638558383444884e-06,0.006041483753865618,0.0004337425031963535,0.00015851618164592848,8.809567624198556e-06
Amount,1.4784055472816249e-05,1.8403405604976898e-06,0.005287942595046858,0.0006402967335808903,0.00016000635187244866,1.2701445259379494e-05
V2,1.258739208185311e-05,1.4346524166216432e-06,0.0037024432660012208,0.00037758931030493795,8.194539557493036e-05,7.661129054856576e-06
V17,1.2301314989082712e-05,2.093194009404241e-06,0.005625626769166803,0.0008091869734775844,0.00054998694150165,1.9453743977987047e-05
V5,1.212081396626541e-05,1.216566747865491e-06,0.004373156645276511,0.0003079182183006563,0.00013011653281069492,6.247622213421921e-06
V12,1.1855170951569072e-05,1.9914171342136965e-06,0.004302474571672344,0.0007950048802519243,0.00037404804032623083,3.106195866184345e-05
V3,1.1174035016403571e-05,2.667875644604818e-06,0.0035258534725146396,0.0007043388345235785,0.00015725140763166547,1.5561120757905536e-05
V6,1.0094434559149157e-05,3.7048410504622045e-07,0.0039290417380631,8.214497421709922e-05,9.004075098036206e-05,2.1919851206541074e-06
V25,9.134032890556477e-06,6.842450361876623e-07,0.0030979423204473113,0.00013412150053652608,8.82927681419129e-05,6.002661315073753e-06
V19,8.59593550179838e-06,8.756902501482138e-07,0.00344505134454236,0.00032869356946072274,0.00012943042261903182,6.44066563084816e-06
V13,8.39500040088481e-06,1.2909278115011566e-06,0.0034561860584877424,0.0003670406665942084,0.00012878795285571683,9.487004339831367e-06
V24,7.907988207267458e-06,1.5642639327259477e-06,0.0029419381209505823,0.0005214935314985056,7.805474868051306e-05,9.690187863932891e-06
V18,7.455032810388396e-06,1.1777645914703432e-06,0.0027314304110305,0.0003940974856914129,7.993244176422728e-05,1.4796215390241945e-05
V15,7.427787372948913e-06,1.2622810709186978e-06,0.0022952022064650413,0.0002800934360796717,6.0565799605725044e-05,6.478359936925231e-06
V1,7.1417102802451286e-06,1.182835256461893e-06,0.002540648254223976,0.00038710600164698183,8.706143725228025e-05,9.027953103245002e-06
V22,6.9680206167488375e-06,1.05896377111159e-06,0.0024824571393077697,0.00022560716014385912,6.81255574454104e-05,2.9551091405940577e-06
V21,6.320941478321629e-06,9.312152123633048e-07,0.002590673936568466,0.0003274098994597589,0.00011872667377127094,7.386016041047724e-06
V11,5.534229473203034e-06,1.8643724539713293e-06,0.0012725645049537436,0.0004483458408868883,0.0001667363953000569,9.590094688197975e-06
V23,4.87693329571659e-06,9.769374839344606e-07,0.0019397618047557463,0.0003263244202325994,6.964932495570432e-05,7.243324703257947e-06
V9,4.246882555758446e-06,5.796262704397445e-07,0.001491092483450096,0.00017614373275255755,8.56203125915953e-05,6.081646366238824e-06
V7,3.1366309813929405e-06,6.083119750083012e-07,0.0011302809401190661,0.00019110956659902547,6.585297342344948e-05,4.068864721621953e-06
V16,2.0774646022792e-06,1.2020650240700279e-06,0.000722178634911752,0.0003765261401963973,8.456894349223915e-05,4.3816297091528265e-06
V10,-6.470791384938223e-08,1.502804154065118e-06,-0.0001907910541502078,0.0004840058678287488,0.00046956154108815476,6.335707324077497e-06
