feature,vif
V1,1.6673901270843117
V2,3.069924168161871
V3,1.1142111747702934
V4,1.1392965453486978
V5,2.312632017028519
V6,1.4274492866253876
V7,2.0177392515513524
V8,1.075802837766991
V9,1.0858798391403417
V10,1.1329224069695918
V11,1.0539529185273855
V12,1.0842906133344332
V13,1.0545613787955976
V14,1.1121196319794644
V15,1.0698716620157476
V16,1.0612366294505458
V17,1.085245912231451
V18,1.03320719990414
V19,1.0350530473839552
V20,1.7291214456886719
V21,1.0615685914015176
V22,1.1464154291826647
V23,1.1908418405780132
V24,1.0044667341836655
V25,1.081458816522165
V26,1.038649417883884
V27,1.0156962824804414
V28,1.045708782942812
Amount,7.602288880893948
