Metric,Value
ROC AUC,0.9999859685997355
Precision Recall AUC,0.9941276603282551
Average Precision,0.9941352466712803
Log Loss (Cross Entropy),0.0036458436303447514
Brier Score Loss,0.0006465545034241561
