threshold,tp,fp,fn,tn,Amount_tp_sum,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr,Amount_weighted_recall
0.0,3.0,5214.0,0.0,0.0,768.9300000000001,0.0005750431282346176,1.0,1738.0,0.0005750431282346176,0.0011494252873563218,0.0,1.0,1.0
0.01,2.0,13.0,1.0,5201.0,239.93000000000006,0.13333333333333333,0.6666666666666666,6.5,0.9973164654015718,0.2222222222222222,0.9975067126965861,0.002493287303413916,0.312031004122612
0.02,2.0,6.0,1.0,5208.0,239.93000000000006,0.25,0.6666666666666666,3.0,0.9986582327007859,0.36363636363636365,0.998849252013809,0.0011507479861909697,0.312031004122612
0.03,2.0,5.0,1.0,5209.0,239.93000000000006,0.2857142857142857,0.6666666666666666,2.5,0.9988499137435307,0.4,0.9990410433448408,0.0009589566551592155,0.312031004122612
0.04,2.0,4.0,1.0,5210.0,239.93000000000006,0.3333333333333333,0.6666666666666666,2.0,0.9990415947862756,0.4444444444444444,0.9992328346758726,0.0007671653241273502,0.312031004122612
0.05,2.0,3.0,1.0,5211.0,239.93000000000006,0.4,0.6666666666666666,1.5,0.9992332758290206,0.5,0.9994246260069045,0.0005753739930954849,0.312031004122612
0.06,2.0,3.0,1.0,5211.0,239.93000000000006,0.4,0.6666666666666666,1.5,0.9992332758290206,0.5,0.9994246260069045,0.0005753739930954849,0.312031004122612
0.07,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.08,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.09,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.1,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.11,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.12,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.13,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.14,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.15,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.16,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.17,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.18,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.19,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.2,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.21,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.22,2.0,2.0,1.0,5212.0,239.93000000000006,0.5,0.6666666666666666,1.0,0.9994249568717654,0.5714285714285714,0.9996164173379364,0.00038358266206361957,0.312031004122612
0.23,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.24,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.25,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.26,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.27,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.28,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.29,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.3,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.31,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.32,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.33,2.0,1.0,1.0,5213.0,239.93000000000006,0.6666666666666666,0.6666666666666666,0.5,0.9996166379145103,0.6666666666666666,0.9998082086689681,0.0001917913310318653,0.312031004122612
0.34,2.0,0.0,1.0,5214.0,239.93000000000006,1.0,0.6666666666666666,0.0,0.9998083189572551,0.8,1.0,0.0,0.312031004122612
0.35000000000000003,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.36,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.37,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.38,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.39,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.4,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.41000000000000003,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.42,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.43,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.44,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.45,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.46,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
0.47000000000000003,1.0,0.0,2.0,5214.0,5.684341886080802e-14,1.0,0.3333333333333333,0.0,0.9996166379145103,0.5,1.0,0.0,7.392534933063869e-17
