n_estimators,auc,aucpr,error,logloss
1,0.499712,0.000573,0.000575,0.659929
2,0.499521,0.000572,0.000575,0.628894
3,0.499137,0.00057,0.000575,0.599839
4,0.665772,0.334335,0.000575,0.572533
5,0.665772,0.334335,0.000575,0.546865
6,0.665068,0.334264,0.000575,0.522721
7,0.665004,0.334259,0.000575,0.499959
8,0.832374,0.547858,0.000575,0.478415
9,0.83231,0.54785,0.000575,0.458057
10,0.832247,0.479098,0.000575,0.438801
11,0.832215,0.479095,0.000575,0.420545
12,0.832215,0.479095,0.000575,0.403203
13,0.832278,0.547846,0.000575,0.386713
14,0.832151,0.547832,0.000575,0.371087
15,0.832151,0.547832,0.000575,0.356203
16,0.832087,0.47908,0.000575,0.342037
17,0.832087,0.47908,0.000575,0.328523
18,0.832151,0.547832,0.000575,0.315623
19,0.832215,0.667366,0.000575,0.303316
20,0.832215,0.667366,0.000575,0.291568
21,0.832215,0.667366,0.000575,0.280385
22,0.832215,0.667366,0.000575,0.269693
23,0.832215,0.667366,0.000575,0.259462
24,0.832215,0.667366,0.000575,0.249685
25,0.832215,0.667366,0.000575,0.240322
26,0.832215,0.667366,0.000575,0.231353
27,0.832023,0.667347,0.000575,0.222764
28,0.832023,0.667347,0.000575,0.214513
29,0.832023,0.667347,0.000575,0.206628
30,0.831959,0.532192,0.000575,0.199071
31,0.831959,0.532192,0.000575,0.191827
32,0.831959,0.532192,0.000575,0.184862
33,0.831959,0.532192,0.000575,0.178161
34,0.831959,0.532192,0.000575,0.171749
35,0.831959,0.532192,0.000575,0.165582
36,0.831959,0.532192,0.000575,0.159656
37,0.831959,0.667341,0.000575,0.153953
38,0.831959,0.667341,0.000575,0.148463
39,0.831959,0.667341,0.000575,0.143211
40,0.831831,0.66733,0.000575,0.138151
41,0.831831,0.66733,0.000575,0.133291
42,0.831831,0.66733,0.000575,0.128616
43,0.831831,0.66733,0.000575,0.124117
44,0.831831,0.66733,0.000575,0.119794
45,0.831831,0.66733,0.000575,0.115636
46,0.831831,0.66733,0.000575,0.111639
47,0.831831,0.66733,0.000575,0.107758
48,0.831831,0.66733,0.000575,0.104034
49,0.831831,0.66733,0.000575,0.100472
50,0.831831,0.66733,0.000575,0.097027
51,0.831799,0.667328,0.000575,0.093708
52,0.831511,0.667307,0.000575,0.090513
53,0.831511,0.667307,0.000575,0.087418
54,0.831511,0.667307,0.000575,0.084435
55,0.831511,0.667307,0.000575,0.081588
56,0.831511,0.667307,0.000575,0.078812
57,0.831511,0.667307,0.000575,0.076157
58,0.831511,0.667307,0.000575,0.073597
59,0.831511,0.667307,0.000575,0.071124
60,0.831511,0.667307,0.000575,0.068725
61,0.831511,0.667307,0.000575,0.066414
62,0.831511,0.667307,0.000575,0.064184
63,0.831511,0.667307,0.000575,0.062031
64,0.831511,0.667307,0.000575,0.059966
65,0.830648,0.667261,0.000575,0.057989
66,0.829498,0.667218,0.000575,0.056083
67,0.829498,0.667218,0.000575,0.054236
68,0.829498,0.667218,0.000575,0.052463
69,0.829498,0.667218,0.000575,0.050724
70,0.829466,0.667217,0.000575,0.049072
71,0.82937,0.667214,0.000575,0.047461
72,0.82937,0.667214,0.000575,0.045923
73,0.829338,0.667213,0.000575,0.044427
74,0.829338,0.667213,0.000575,0.042983
75,0.829242,0.66721,0.000575,0.041588
76,0.828826,0.667198,0.000575,0.040252
77,0.828826,0.667198,0.000575,0.03895
78,0.828826,0.667198,0.000575,0.03771
79,0.828826,0.667198,0.000575,0.036499
80,0.828762,0.667197,0.000575,0.035317
81,0.828762,0.667197,0.000575,0.034185
82,0.828762,0.667197,0.000575,0.03311
83,0.828762,0.667197,0.000575,0.032059
84,0.827771,0.667173,0.000575,0.03106
85,0.975643,0.669003,0.000575,0.030095
86,0.975643,0.669003,0.000575,0.029153
87,0.975643,0.669003,0.000575,0.028248
88,0.975643,0.669003,0.000575,0.027364
89,0.975643,0.669003,0.000575,0.026494
90,0.975643,0.669003,0.000575,0.025671
91,0.975643,0.669003,0.000575,0.024882
92,0.975643,0.669003,0.000575,0.024099
93,0.975515,0.668988,0.000575,0.023342
94,0.975515,0.668988,0.000575,0.022646
95,0.975451,0.668981,0.000575,0.021944
96,0.977401,0.669221,0.000575,0.021289
97,0.977401,0.669221,0.000575,0.020641
98,0.977401,0.669221,0.000575,0.020017
99,0.977401,0.669221,0.000575,0.019404
100,0.977401,0.669221,0.000575,0.018814
101,0.977401,0.669221,0.000575,0.018252
102,0.975291,0.668958,0.000575,0.017718
103,0.975291,0.668958,0.000575,0.017192
104,0.975291,0.668958,0.000575,0.016681
105,0.975291,0.668958,0.000575,0.016201
106,0.975291,0.668958,0.000575,0.01573
107,0.975291,0.668958,0.000575,0.015291
108,0.975227,0.668951,0.000575,0.014847
109,0.975227,0.668951,0.000575,0.014425
110,0.973501,0.668774,0.000575,0.014025
111,0.973501,0.668774,0.000575,0.013626
112,0.973501,0.668774,0.000575,0.01323
113,0.973597,0.66876,0.000575,0.012856
114,0.971935,0.668623,0.000575,0.012501
115,0.971935,0.668623,0.000575,0.012157
116,0.971935,0.668623,0.000575,0.011811
117,0.971935,0.668623,0.000575,0.011485
118,0.971935,0.668623,0.000575,0.011165
119,0.971231,0.66857,0.000575,0.010868
120,0.971231,0.66857,0.000575,0.010586
121,0.969473,0.668451,0.000575,0.010308
122,0.969281,0.668439,0.000575,0.010037
123,0.969281,0.668439,0.000575,0.009775
124,0.969154,0.668429,0.000575,0.009524
125,0.967364,0.668326,0.000575,0.009282
126,0.967364,0.668326,0.000575,0.00905
127,0.967364,0.668326,0.000575,0.008819
128,0.967364,0.668326,0.000575,0.008597
129,0.967364,0.668326,0.000575,0.008388
130,0.967364,0.668326,0.000575,0.008186
131,0.967236,0.668319,0.000575,0.007981
132,0.967236,0.668319,0.000575,0.007793
133,0.967236,0.668319,0.000575,0.007616
134,0.941855,0.66758,0.000575,0.007454
135,0.941855,0.66758,0.000575,0.007281
136,0.941855,0.66758,0.000575,0.00711
137,0.937955,0.667522,0.000575,0.006956
138,0.93706,0.667509,0.000575,0.006817
139,0.936038,0.667496,0.000575,0.006677
