n_estimators,auc,aucpr,error,logloss
1,0.837368,0.577451,0.000971,0.659905
2,0.847061,0.642707,0.001116,0.629059
3,0.863725,0.656895,0.001237,0.599907
4,0.89584,0.705264,0.001256,0.572647
5,0.898637,0.709788,0.001055,0.547164
6,0.929436,0.754327,0.001049,0.522953
7,0.929419,0.749015,0.00108,0.500191
8,0.935139,0.784361,0.001104,0.478672
9,0.935045,0.779338,0.00111,0.458336
10,0.935048,0.786359,0.001146,0.439192
11,0.934781,0.779757,0.001195,0.420933
12,0.934827,0.78882,0.001159,0.403681
13,0.934842,0.797196,0.001116,0.387149
14,0.934832,0.798808,0.001068,0.371556
15,0.934833,0.799679,0.001055,0.356638
16,0.934842,0.804101,0.001055,0.342513
17,0.934842,0.8043,0.001049,0.328997
18,0.934845,0.806718,0.001037,0.316092
19,0.934848,0.808133,0.001043,0.303848
20,0.934847,0.808558,0.001043,0.292114
21,0.934846,0.808442,0.001049,0.280931
22,0.934845,0.808829,0.001055,0.270277
23,0.934849,0.811402,0.001037,0.260043
24,0.934846,0.810214,0.001037,0.250267
25,0.934854,0.812635,0.001031,0.240849
26,0.934759,0.811988,0.001043,0.231924
27,0.934755,0.812612,0.001037,0.223346
28,0.934765,0.814822,0.001031,0.215074
29,0.934765,0.814481,0.001037,0.207246
30,0.934762,0.813483,0.001025,0.199658
31,0.93476,0.81255,0.001025,0.192426
32,0.934766,0.814007,0.001025,0.18544
33,0.934767,0.815033,0.001031,0.17876
34,0.934765,0.81417,0.001025,0.172325
35,0.934767,0.814923,0.001019,0.166141
36,0.93477,0.815857,0.001025,0.160203
37,0.934765,0.816973,0.001019,0.154534
38,0.934766,0.817598,0.001013,0.149053
39,0.934766,0.818331,0.001013,0.143815
40,0.934744,0.818333,0.001013,0.138734
41,0.934744,0.818142,0.001001,0.133865
42,0.934746,0.820038,0.000989,0.129203
43,0.934744,0.819939,0.000983,0.124705
44,0.934742,0.819303,0.000989,0.120372
45,0.934738,0.820016,0.000989,0.116232
46,0.934738,0.819955,0.001001,0.112235
47,0.93474,0.820893,0.000983,0.108345
48,0.934741,0.821932,0.000977,0.104639
49,0.934741,0.821898,0.000977,0.101049
50,0.934741,0.82245,0.000964,0.097635
51,0.934737,0.822924,0.000964,0.094315
52,0.934698,0.822382,0.000977,0.091126
53,0.934698,0.822469,0.000964,0.088045
54,0.934699,0.822768,0.000958,0.085066
55,0.934697,0.82238,0.000971,0.082214
56,0.934699,0.82346,0.000958,0.079454
57,0.934697,0.823152,0.000971,0.076805
58,0.934697,0.823226,0.000964,0.074251
59,0.934698,0.824483,0.000958,0.07176
60,0.934699,0.824769,0.000946,0.069379
61,0.934699,0.825285,0.00094,0.067064
62,0.9347,0.825716,0.00094,0.064853
63,0.934699,0.825701,0.000922,0.062691
64,0.9347,0.826188,0.000916,0.060624
