threshold,tp,fp,fn,tn,Amount_tp_sum,precision,recall,fp_to_tp,accuracy,F1,specificity,fpr,Amount_weighted_recall
0.0,357.0,164497.0,0.0,0.0,39398.69,0.0021655525495286737,1.0,460.77591036414566,0.0021655525495286737,0.004321746130705582,0.0,1.0,1.0
0.01,325.0,436.0,32.0,164061.0,35957.43,0.42706964520367935,0.9103641456582633,1.3415384615384616,0.9971611243888532,0.5813953488372093,0.9973494957354846,0.0026505042645154075,0.9126554715397898
0.02,319.0,188.0,38.0,164309.0,35389.05,0.6291913214990138,0.8935574229691877,0.5893416927899686,0.9986290899826513,0.7384259259259259,0.9988571220143833,0.0011428779856167415,0.8982291035564888
0.03,318.0,139.0,39.0,164358.0,35065.280000000006,0.6958424507658644,0.8907563025210085,0.4371069182389937,0.9989202567119997,0.7813267813267813,0.9991549997872302,0.0008450002127697864,0.8900113176351804
0.04,316.0,119.0,41.0,164378.0,34181.89000000001,0.7264367816091954,0.8851540616246498,0.37658227848101267,0.9990294442355053,0.797979797979798,0.9992765825516575,0.0007234174483424782,0.8675895061485548
0.05,313.0,102.0,44.0,164395.0,33401.94000000001,0.7542168674698795,0.876750700280112,0.3258785942492013,0.9991143678648986,0.810880829015544,0.9993799279014207,0.0006200720985792829,0.8477931626660685
0.06,312.0,96.0,45.0,164401.0,32572.53000000001,0.7647058823529411,0.8739495798319328,0.3076923076923077,0.9991446977325391,0.8156862745098039,0.9994164027307489,0.0005835972692510571,0.826741447494828
0.07,310.0,92.0,47.0,164405.0,32568.77000000001,0.7711442786069652,0.8683473389355743,0.2967741935483871,0.9991568296795953,0.8168642951251647,0.9994407192836343,0.0005592807163656843,0.8266460128496661
0.08,310.0,89.0,47.0,164408.0,32568.77000000001,0.7769423558897243,0.8683473389355743,0.2870967741935484,0.9991750276001795,0.8201058201058201,0.9994589566982984,0.0005410433017015714,0.8266460128496661
0.09,310.0,88.0,47.0,164409.0,32568.77000000001,0.7788944723618091,0.8683473389355743,0.2838709677419355,0.9991810935737077,0.8211920529801324,0.9994650358365198,0.0005349641634802005,0.8266460128496661
0.1,310.0,85.0,47.0,164412.0,32568.77000000001,0.7848101265822784,0.8683473389355743,0.27419354838709675,0.9991992914942919,0.824468085106383,0.9994832732511839,0.0005167267488160876,0.8266460128496661
0.11,310.0,78.0,47.0,164419.0,32568.77000000001,0.7989690721649485,0.8683473389355743,0.25161290322580643,0.9992417533089886,0.8322147651006712,0.9995258272187335,0.00047417278126649087,0.8266460128496661
0.12,310.0,73.0,47.0,164424.0,32568.77000000001,0.8093994778067886,0.8683473389355743,0.23548387096774193,0.999272083176629,0.8378378378378378,0.9995562229098403,0.0004437770901597471,0.8266460128496661
0.13,310.0,72.0,47.0,164425.0,32568.77000000001,0.8115183246073299,0.8683473389355743,0.23225806451612904,0.9992781491501571,0.8389715832205683,0.9995623020480616,0.00043769795193837613,0.8266460128496661
0.14,310.0,67.0,47.0,164430.0,32568.77000000001,0.8222811671087533,0.8683473389355743,0.2161290322580645,0.9993084790177975,0.8446866485013624,0.9995926977391685,0.0004073022608315213,0.8266460128496661
0.15,310.0,66.0,47.0,164431.0,32568.77000000001,0.824468085106383,0.8683473389355743,0.2129032258064516,0.9993145449913257,0.8458390177353342,0.9995987768773898,0.00040122312261015036,0.8266460128496661
0.16,310.0,66.0,47.0,164431.0,32568.77000000001,0.824468085106383,0.8683473389355743,0.2129032258064516,0.9993145449913257,0.8458390177353342,0.9995987768773898,0.00040122312261015036,0.8266460128496661
0.17,310.0,66.0,47.0,164431.0,32568.77000000001,0.824468085106383,0.8683473389355743,0.2129032258064516,0.9993145449913257,0.8458390177353342,0.9995987768773898,0.00040122312261015036,0.8266460128496661
0.18,310.0,65.0,47.0,164432.0,32568.77000000001,0.8266666666666667,0.8683473389355743,0.20967741935483872,0.9993206109648537,0.8469945355191257,0.9996048560156112,0.0003951439843887794,0.8266460128496661
0.19,310.0,65.0,47.0,164432.0,32568.77000000001,0.8266666666666667,0.8683473389355743,0.20967741935483872,0.9993206109648537,0.8469945355191257,0.9996048560156112,0.0003951439843887794,0.8266460128496661
0.2,310.0,63.0,47.0,164434.0,32568.77000000001,0.8310991957104558,0.8683473389355743,0.2032258064516129,0.9993327429119099,0.8493150684931506,0.999617014292054,0.0003829857079460375,0.8266460128496661
0.21,310.0,61.0,47.0,164436.0,32568.77000000001,0.8355795148247979,0.8683473389355743,0.1967741935483871,0.9993448748589662,0.8516483516483516,0.9996291725684967,0.00037082743150329556,0.8266460128496661
0.22,310.0,50.0,47.0,164447.0,32568.77000000001,0.8611111111111112,0.8683473389355743,0.16129032258064516,0.9994116005677751,0.8647140864714087,0.9996960430889317,0.000303956911068326,0.8266460128496661
0.23,310.0,43.0,47.0,164454.0,32568.77000000001,0.8781869688385269,0.8683473389355743,0.13870967741935483,0.9994540623824718,0.8732394366197183,0.9997385970564813,0.0002614029435187293,0.8266460128496661
0.24,310.0,40.0,47.0,164457.0,32568.77000000001,0.8857142857142857,0.8683473389355743,0.12903225806451613,0.999472260303056,0.8769448373408769,0.9997568344711454,0.0002431655288546164,0.8266460128496661
0.25,310.0,37.0,47.0,164460.0,32568.77000000001,0.8933717579250721,0.8683473389355743,0.11935483870967742,0.9994904582236404,0.8806818181818182,0.9997750718858095,0.00022492811419050351,0.8266460128496661
0.26,310.0,36.0,47.0,164461.0,32568.77000000001,0.8959537572254336,0.8683473389355743,0.11612903225806452,0.9994965241971684,0.8819345661450925,0.9997811510240309,0.00021884897596913255,0.8266460128496661
0.27,310.0,35.0,47.0,164462.0,32568.77000000001,0.8985507246376812,0.8683473389355743,0.11290322580645161,0.9995025901706965,0.8831908831908832,0.9997872301622522,0.0002127698377477616,0.8266460128496661
0.28,310.0,35.0,47.0,164462.0,32568.77000000001,0.8985507246376812,0.8683473389355743,0.11290322580645161,0.9995025901706965,0.8831908831908832,0.9997872301622522,0.0002127698377477616,0.8266460128496661
0.29,310.0,33.0,47.0,164464.0,32568.77000000001,0.9037900874635568,0.8683473389355743,0.1064516129032258,0.9995147221177527,0.8857142857142857,0.999799388438695,0.00020061156130501967,0.8266460128496661
0.3,310.0,32.0,47.0,164465.0,32568.77000000001,0.9064327485380117,0.8683473389355743,0.1032258064516129,0.9995207880912808,0.8869814020028612,0.9998054675769164,0.0001945324230836487,0.8266460128496661
0.31,309.0,31.0,48.0,164466.0,32549.04000000001,0.9088235294117647,0.865546218487395,0.10032362459546926,0.9995207880912808,0.8866571018651362,0.9998115467151376,0.00018845328486238877,0.8261452347781109
0.32,309.0,30.0,48.0,164467.0,32549.04000000001,0.911504424778761,0.865546218487395,0.0970873786407767,0.9995268540648089,0.8879310344827587,0.999817625853359,0.0001823741466410178,0.8261452347781109
0.33,309.0,30.0,48.0,164467.0,32549.04000000001,0.911504424778761,0.865546218487395,0.0970873786407767,0.9995268540648089,0.8879310344827587,0.999817625853359,0.0001823741466410178,0.8261452347781109
0.34,309.0,30.0,48.0,164467.0,32549.04000000001,0.911504424778761,0.865546218487395,0.0970873786407767,0.9995268540648089,0.8879310344827587,0.999817625853359,0.0001823741466410178,0.8261452347781109
0.35000000000000003,309.0,30.0,48.0,164467.0,32549.04000000001,0.911504424778761,0.865546218487395,0.0970873786407767,0.9995268540648089,0.8879310344827587,0.999817625853359,0.0001823741466410178,0.8261452347781109
0.36,309.0,27.0,48.0,164470.0,32549.04000000001,0.9196428571428571,0.865546218487395,0.08737864077669903,0.9995450519853931,0.8917748917748918,0.9998358632680231,0.00016413673197690493,0.8261452347781109
0.37,309.0,26.0,48.0,164471.0,32549.04000000001,0.9223880597014925,0.865546218487395,0.08414239482200647,0.9995511179589213,0.8930635838150289,0.9998419424062445,0.00015805759375553396,0.8261452347781109
