,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,neg_log_loss_mean,neg_log_loss_std
V4,0.007377743464419761,0.00111261129408442,0.022862077134283388,0.0023373500693493247,0.0006175248393895659,3.2615986048946276e-05
V14,0.006291598993682835,0.0010450465239730856,0.037085915035170045,0.003450703753122382,0.0018849453863203306,4.459302444267161e-05
V8,0.0015587608563914612,0.000527715514387682,0.007228812063254075,0.0007172128758604801,0.00012109968920033577,1.0910401154234528e-05
Amount,0.0015432914078839066,0.00034488310942201294,0.005338680481418212,0.0013961471340470427,0.00011423295653023046,1.436239950843112e-05
V12,0.0008661086154005959,0.0005182325793380105,0.0033897961389589117,0.0012503271148444376,0.0003714745968254757,1.828772725502823e-05
V3,0.0005884588769882959,0.00029461849689200054,0.0012081146499009487,0.0008467903657188517,5.9844653062478185e-05,9.424624378465849e-06
V13,0.0005150630742943752,0.00037433171196773514,0.004373648426755939,0.0007761288470782461,6.930463541318906e-05,8.58135246606413e-06
V10,0.00047493650493376507,0.00028500389192722385,0.0020386359155745047,0.0009873197683829046,0.0004981673659528223,9.441005492033645e-06
V19,0.0003642851208459641,0.0002552892237228004,0.0018429209916867584,0.0006881949615261224,4.762149709268077e-05,7.945282411243104e-06
V26,0.00033027685502299284,0.0001363471156492656,0.0031909335876662446,0.0005406279949005694,6.74189257374599e-05,9.511896160070745e-06
V5,0.000321584709070355,0.00017441283582170098,0.002286422722539305,0.00031514481886542155,2.739024467620938e-05,3.5789615563073017e-06
V2,0.0002877509843307591,0.00011317562697200517,0.003645588372519326,0.0002425592191679938,4.437158217376175e-05,2.7798948063868597e-06
V20,0.00022369696098765158,0.00015954789749035413,0.004346116251321664,0.00030690965918289735,5.951338448851986e-05,6.30730472246979e-06
V16,0.0002146395558897729,7.503367086749853e-05,0.0003391467947518989,0.00031043633584375773,6.42579927762094e-05,3.308527618893533e-06
V21,0.00016131172068569732,5.4509455588042955e-05,0.0018807549995767281,0.00026600193515200035,4.2319280430615096e-05,2.9694302705788977e-06
V24,0.0001396745862851878,0.00015941159200729874,0.00042638550037328305,0.0002653765145491857,1.4973474983867368e-05,3.213907181960992e-06
V25,0.00013765757249720734,6.304901622422414e-05,0.0003736419193142382,7.601820295880676e-05,6.7362152376241465e-06,1.3921326251682672e-06
V18,0.00010842321815980327,6.631481834530394e-05,0.0006400353396140201,0.00014187246921916352,8.633593722084031e-06,1.4996656134164625e-06
V9,8.37729086661021e-05,4.065364868229461e-05,0.0011036451823444148,0.00017107519430393514,4.879628603705879e-05,4.519659098923011e-06
V11,7.119999072286997e-05,0.00010308175173453765,-0.0006699906058913685,0.0003611180005049853,7.700607128532919e-05,3.6049697974651086e-06
V22,7.015529848228841e-05,2.8554020913142947e-05,0.00041730653133722486,0.0001464694038696399,1.3270511141293953e-05,3.0901855807071216e-06
V23,5.46858499747338e-05,9.992105755731234e-05,0.00033573941601238165,7.886741170414258e-05,7.943700532515905e-06,1.2813956895606152e-06
V28,4.596986426435024e-05,3.114286643492951e-05,0.0032502004923736115,0.00013580786902870945,4.9404404704109577e-05,1.0539866040998483e-06
V15,3.8962678331311285e-05,2.0429638056329672e-05,0.0004053976430549389,0.00010315630634579972,5.149622097054682e-06,5.49270614513046e-07
V7,3.76216919589889e-05,0.00017237116080328504,0.002127582847877052,0.0003020869832832338,3.907041581346017e-05,4.00412246540752e-06
V1,3.529901841999861e-05,2.1026462098848798e-05,0.00022063998872871027,6.291697557433313e-05,2.6765414766235457e-06,7.173466663598058e-07
V6,3.13322530176352e-05,2.0640689163816155e-05,0.0015009764705305796,7.637774794488576e-05,3.0265607399480734e-05,1.1650593424828198e-06
V27,4.039136095479456e-06,7.1239981083934835e-06,0.0020005563331543684,0.00012155395275579808,4.209750775555554e-05,1.6098457353287672e-06
V17,-1.1165520817302265e-05,0.00022387199475067365,0.007241725486775386,0.0006194755137210894,0.0004654824639458842,5.0506269089903045e-06
